node1,node2,timestamp,msg1call0
32100,86610,1354423800,1
86610,32100,1354423860,1
32100,86610,1354424040,1
86610,32100,1354424100,1
96124,84841,1354424160,1
32100,86610,1354424160,1
86610,32100,1354424220,1
86610,82060,1354424460,0
32100,86610,1354424460,1
86610,82060,1354424460,0
86610,82060,1354424520,0
86610,32100,1354424580,1
86610,82060,1354424820,1
86610,82060,1354424880,1
57637,66754,1354424940,1
48187,98639,1354424940,1
88133,82282,1354425000,1
66754,57637,1354425240,1
57637,66754,1354425300,1
66754,57637,1354425420,1
57637,66754,1354425420,1
57637,66754,1354425480,1
82282,88133,1354425780,1
82282,88133,1354425840,1
82060,86610,1354425840,0
88133,82282,1354425900,1
82282,88133,1354425900,1
88133,82282,1354425900,1
82282,88133,1354425900,1
88133,82282,1354425900,1
74916,18394,1354425960,1
86610,32100,1354425960,1
82282,88133,1354426020,1
88133,82282,1354426020,1
82282,88133,1354426080,1
32100,86610,1354426080,1
18394,74916,1354426080,1
88133,82282,1354426080,1
18394,74916,1354426080,1
88133,82282,1354426140,1
86610,32100,1354426140,1
18394,74916,1354426200,1
74916,18394,1354426200,1
32100,86610,1354426200,1
82282,88133,1354426260,1
18394,74916,1354426260,1
82282,88133,1354426260,1
18394,74916,1354426320,1
74916,18394,1354426320,1
88133,82282,1354426320,1
74916,18394,1354426320,1
88133,82282,1354426380,1
18394,74916,1354426380,1
82282,88133,1354426380,1
82282,88133,1354426440,1
97933,68494,1354426440,1
88133,82282,1354427280,1
88133,82282,1354427340,1
68494,97933,1354428300,1
97933,68494,1354428360,1
68494,97933,1354429020,1
97933,68494,1354429080,1
51552,57637,1354429140,1
68494,97933,1354429140,1
57637,51552,1354429140,1
97933,68494,1354429200,1
51552,57637,1354429260,1
68494,97933,1354429260,1
97933,68494,1354429320,1
68494,97933,1354429320,1
97933,68494,1354429320,1
46771,46584,1354429740,1
82282,88133,1354430640,0
86610,82060,1354430940,1
86610,82060,1354431000,1
57637,66754,1354431420,1
57637,66754,1354431480,1
66754,57637,1354431600,1
66754,57637,1354431660,1
57637,66754,1354431840,1
57637,66754,1354431900,1
82060,86610,1354431900,1
82060,86610,1354431960,1
13882,22745,1354431960,1
13882,22745,1354432020,1
86610,82060,1354432020,1
86610,82060,1354432080,1
66754,57637,1354432140,1
82060,86610,1354432140,1
66754,57637,1354432140,1
22745,13882,1354432140,1
82060,86610,1354432140,1
22745,13882,1354432140,1
82060,86610,1354432200,1
95994,84472,1354432260,1
82060,86610,1354432440,0
68494,35227,1354432500,1
95994,84472,1354432560,1
68494,35227,1354432560,1
95994,84472,1354432680,1
84472,95994,1354432680,1
96124,84841,1354432740,1
35227,68494,1354432740,1
96124,84841,1354432740,1
35227,68494,1354432740,1
35227,68494,1354432800,1
86610,82060,1354432800,0
35227,97933,1354433040,1
95994,84472,1354433340,1
84472,95994,1354433460,1
